It was first published on 19 December 1843 by Chapman & Hall in London .,The book was published on 19 December 1843 .
"The telescope will built at the UWA 's Gravity Discovery Centre and Southern Cross Cosmos Centre 70 km north of Perth on Wallingup Plain , near the town of Gingin .",The telescope will be co-located with the UWA 's Gravity Discovery Centre and Southern Cross Cosmos Centre 70 km north of Perth on Wallingup Plain near the town of Gingin .
Both the Pilbara and Kaapvaal cratons show extensional faults which were active about the same time during volcanism at the same time as the impact layers were formed .,Both the Pilbara and Kaapvaal cratons show extensional faults which were active about during felsic volcanism and coeval with the impact layers .
`` Cryolophosaurus '' was found about from the South Pole but then it was about or so farther north .,"`` Cryolophosaurus '' was found about from the South Pole but , at the time it lived , this was about or so farther north ."
It is maximum nine inches in length and body shape is variable with more slender fish in northern populations .,"They range from in adult length , and their body shapes are variable with more slender fish in northern populations ."
"Glycogen forms an energy reserve that can be quickly mobilized to meet a sudden need for glucose , but one that is less compact than the energy reserves of triglycerides .","Glycogen forms an energy reserve that can be quickly mobilized to meet a sudden need for glucose , but one that is less compact than the energy reserves of triglycerides ( lipids ) ."
The first fossils of modern cockroaches with internal ovipositors appear in the Lower Cretaceous .,The first fossils of modern cockroaches with internal ovipositors appeared in the early Cretaceous .
The tobacco mosaic virus ( TMV ) was the first virus to be discovered .,TMV was the first virus ever to be discovered .
"Vegavis is a genus of extinct bird that lived during the latest Upper Cretaceous of Antarctica , some 66 million years ago ( mya ) .","Vegavis is a genus of extinct bird that lived during the Late Cretaceous ( Maastrichtian stage ) of Antarctica , some 68 to 66 mya ."
Adrastea is the smallest and second closest member of the closer moons to Jupiter .,Adrastea is the smallest and second closest member of the inner Jovian satellite family .
Their fossils occur in beds of both freshwater and marine environments .,Their fossils occur in ancient beds deposited in both freshwater and marine environments .
"Capecchi is Distinguished Professor of Human Genetics and Biology at the University of Utah School of Medicine , which he joined in 1973 .",He is currently Distinguished Professor of Human Genetics and Biology at the University of Utah School of Medicine .
Their eleventh album `` Rewind the Film '' was released on 16 September 2013 .,It was released on 13 September .
The book became a New York Times bestseller and was the bestselling book in Canada on a Canadian subject .,The book was a `` New York Times '' bestseller and was also the bestselling book in Canada on a Canadian subject .
which indicates that the induced emf ( ℰ ) and the change in magnetic flux ( ∂Φ ) have opposite signs .,which indicates that the induced voltage ( ℰ ) and the change in magnetic flux ( ∂Φ ) have opposite signs .
It was released on 31 March 2003 through Black Mark Productions .,"It was released on 31 March 2003 , through Black Mark Production ."
"The newest ones are and , which were both release on November 11 , 2014 .","It was released on November 7 , 2013 ."
"Westerlund 1 is believed to have formed in a single burst of star formation , so the stars have similar ages and compositions .","Westerlund 1 is believed to have formed in a single burst of star formation , implying the constituent stars have similar ages and compositions ."
"Through the skies over late Miocene South America ( 6 Ma ago ) soared the largest flying bird known , the teratorn `` Argentavis '' , with a wing span of 6 m or more , which may have lived in part on the leftovers of `` Thylacosmilus '' kills .","Through the skies over late Miocene South America ( 6 Ma ago ) soared the largest flying bird known , the teratorn `` Argentavis '' , with a wing span of 6 m or more , which may have subsisted in part on the leftovers of `` Thylacosmilus '' kills ."
"After he had been suffering serious pains in his stomach and was vomiting went to see the Canadiens ' physician David Mulder , who , after many tests discovered the cancer .","He was suffering serious pains in stomach and vomiting and went to see the Canadiens ' physician David Mulder , who , after several tests , discovered the cancer ."
The groundwater flow rate within a cenote may be very slow at velocities ranging from 1 to 1000 meters per year .,The groundwater flow rate within a cenote may be very slow .
Soto Toro was presented with the 2003 `` El Premio Coqui '' by La Casa de Puerto Rico in Florida for his assistance in the field of science .,Soto Toro was presented with the 2003 `` El Premio Coqui '' by La Casa de Puerto Rico in Florida for his contributions in the field of science .
"He was a proponent of natural selection , and a leading figure in the modern evolutionary synthesis .","He was a proponent of natural selection , and a leading figure in the mid-twentieth century modern evolutionary synthesis ."
"This group , however , does contain typically eukaryotic organelles , such as golgi complexes , mitochondria and chloroplasts .","This group , however , does contain typically eukaryotic organelles , such as Golgi bodies , mitochondria , and chloroplasts ."
"The boundary between the Precambrian and Cambrian is marked by the presence of trace fossils of `` Treptichnus pedum '' , one of the earliest animals .","The boundary between the Precambrian and Cambrian is demarcated by the presence of trace fossils of `` Treptichnus pedum '' , one of the earliest animals ."
The Western subspecies is found in western North America and parts of Mexico .,"The western subspecies is found in western North America , including parts of Mexico ."
"The family is of quite recent origin : the first fossils are from the Oligocene , 25 million years ago ( mya ) .","The first cats emerged during the Oligocene , about 25 million years ago ."
"In February 2011 , the researchers announced at Boston University that they had found evidence of chronic traumatic encephalopathy in Probert 's brain .","In February 2011 , it was announced by researchers at Boston University that they had found evidence of chronic traumatic encephalopathy in Probert 's brain ."
"Genetic studies made it right to break up the first `` A. tigrinum '' population , even though there is some hybridization between the groups .","Genetic studies made it necessary to break up the original `` A. tigrinum '' population , though some hybridization between groups occurs ."
Viruses are much smaller than bacteria .,"In general , viruses are much smaller than bacteria ."
Eating a second plant type helps herbivores’ populations stabilize .,Eating a second prey type helps herbivores’ populations stabilize .
"At this stage , the matter in the Universe was mainly a hot , dense plasma of negative electrons , neutral neutrinos and positive nuclei .","At this stage , matter in the Universe was mainly a hot , dense plasma of negatively charged electrons , neutral neutrinos and positive nuclei ."
It is a visual grouping of five galaxies of which four are the first compact galaxy group ever discovered .,The group is the most studied of all the compact galaxy groups .
In the summer of 1929 he joined the Rockefeller Institute .,In September 1929 he joined the Rockefeller Institute .
"Sodium carbonate decahydrate stays the same at room temperature , but it changes into the crystal material NaCO·7HO , then above to sodium carbonate monohydrate , NaCO·HO , if the temperature becomes .","Sodium carbonate decahydrate is stable at room temperature but recrystallizes at only to sodium carbonate heptahydrate , NaCO·7HO , then above to sodium carbonate monohydrate , NaCO·HO ."
The German Academic Exchange Service is mainly funded by the Foreign Office of Germany and the European Union .,The DAAD is mainly funded by the German government and the European Union .
"In 1982 R. Brent Tully showed it consists of two components : a flattened disk with two-thirds of the supercluster 's luminous galaxies , and a roughly spherical halo containing the remaining one-third .","It consists of two components : an appreciably flattened disk containing two-thirds of the supercluster 's luminous galaxies , and a roughly spherical halo containing the remaining one-third ."
"The skull is from an extremely robust ( = strong ) individual , and has the comparatively largest brow-ridges of any known hominid remains .",The massive skull suggests an extremely robust individual with the comparatively largest brow-ridges of any known hominid .
"MLIP is one of the largest Proterozoic magmatic provinces on Earth , as well as the world 's largest and best-preserved continental flood basalt terrain .","The Mackenzie Large Igneous Province is also one of the largest Proterozoic magmatic provinces on Earth , as well as the world 's largest and best-preserved continental flood basalt terrain ."
The Pacific Plate is a tectonic plate beneath parts of the Pacific Ocean .,The Pacific Plate is an oceanic tectonic plate that lies beneath the Pacific Ocean .
"The rainiest month is April , though the island has year-round rainfall .","The rainiest month is May , though the island experiences year-round rainfall ."
"The moon orbits the barycenter of the system in the same plane as Charon and Nix , at a distance of about 65,000 km .","Hydra orbits the barycenter of the system in the same plane as Charon and Nix , at a distance of about 65,000 km ."
"Following its discovery in 1999 , Perdita was given the designation of S/1986 U 10 .","Following its discovery in 1999 , it was given the temporary designation of S/1986 U 10 ."
The last eruption from Jingū seamount was 55 million years ago .,It erupted 55 million years ago .
"At this distance , the apparent magnitude of the star is reduced by 0.23 as a result of gas and dust along the line of sight .","At this distance , the visual magnitude of the star is diminished by 0.23 as a result of extinction caused by gas and dust along the line of sight ."
"In 1765 , after five years training in Edinburgh and touring Europe , Dr. Morgan returned to Philadelphia .","In 1765 , after training in Edinburgh and other European cities , Dr. Morgan returned to Philadelphia ."
Friedrich Hund ( 4 February 1896 31 March 1997 ) was a German physicist from Karlsruhe known for his work on atoms and molecules .,Friedrich Hermann Hund ( 4 February 1896 – 31 March 1997 ) was a German physicist from Karlsruhe known for his work on atoms and molecules .
"Despite these achievements , Aristotle 's errors are thought by some , such as Peter Medawar , to have held back science considerably .","Despite these achievements , the influence of Aristotle 's errors is considered by some to have held back science considerably ."
"Thallium ( I ) chloride , also known as thallous chloride , is a chemical compound .","Thallium ( I ) chloride , also known as thallous chloride , is a chemical compound with the formula TlCl ."
The Imperial lemon is a lemon and grapefruit hybrid .,The Imperial lemon is thought to be a lemon × grapefruit hybrid .
SnRNPs were discovered by Michael Lerner and Joan Steitz .,SnRNPs were discovered by Michael R. Lerner and Joan A. Steitz .
"Their first known occurrence in the fossil record is in the Rhynie chert of the Devonian period , ~400 million years ago .","Their first known occurrence in the fossil record is during the Devonian period , 417–354 million years ago ."
"The nuclear reactors for units 1 , 2 , and 6 were supplied by General Electric , those for units 3 and 5 by Toshiba , and unit 4 by Hitachi .","The reactors for Units 1 , 2 , and 6 were supplied by General Electric , those for Units 3 and 5 by Toshiba , and Unit 4 by Hitachi ."
"An Eocene bat , `` Onychonycteris '' , was found in the 52-million-year-old Green River Formation in Wyoming , United States , in 2003 .","Another Eocene bat , `` Onychonycteris finneyi '' , was found in the 52-million-year-old Green River Formation in Wyoming , United States , in 2003 ."
"Comparisons between the scleral rings ( bony ring round edge of eye ) of `` Pterodaustro '' and modern birds and reptiles suggest that it may have been nocturnal , and may have had similar activity patterns to those modern ducks which feed at night .","Comparisons between the scleral rings of `` Pterodaustro '' and modern birds and reptiles suggest that it may have been nocturnal , and may have had similar activity patterns to modern anseriform birds that feed at night ."
He asked for people to give him money to support himself and his family so that he could work full time .,He asked for voluntary donations to support himself and his family so that he could practice full-time .
"John Ledyard ( 2007 ) , Robert Lucas , Roger Myerson , Edward C. Prescott , James Quirk , Nancy Stokey and Neil Wallace are some of the people who have given the lecture since it was thought to be important in 1992 .","John Ledyard ( 2007 ) , Robert Lucas , Roger Myerson , Edward C. Prescott , James Quirk , Nancy Stokey and Neil Wallace are among those who have delivered the lecture since it was inaugurated in 1992 ."
"Here , one component makes an electron move from the highest occupied molecular orbital ( HOMO ) ( π bonding ) to the lowest unoccupied molecular orbital ( LUMO ) ( π* antibonding ) .","Here , one component has an electron promoted from the HOMO ( π bonding ) to the LUMO ( π* antibonding ) ."
"Park officials say there are more than 200 species of birds , 66 species of mammals , 50 species of fish , 39 species of reptiles , and 43 species of amphibians , including many lungless salamanders .","Park officials count more than 200 species of birds , 66 species of mammals , 50 species of fish , 39 species of reptiles , and 43 species of amphibians , including many lungless salamanders ."
Herculina is one of the twenty or so biggest members of the main asteroid belt .,Herculina is one of the larger members of the main asteroid belt .
The white-headed Capuchin is important to rain forests because of its role in dispersing seeds and pollen .,The white-headed capuchin is important to its ecosystems as a seed and pollen disperser .
The emperor newt ( Tylototriton shanjing ) is a highly toxic newt .,The emperor newt ( Tylototriton shanjing ) is a highly toxic newt native to China .
He is a founder of modern bacteriology and microbiology .,He is one of the founders of modern bacteriology and microbiology .
"The strata where it was found in Kansas are of Pennsylvanian age , approximately 302 million years old .","The strata where it was found in Kansas , USA , are of Pennsylvanian age , and are approximately 302 million years old ."
"243 Ida is a Main belt asteroid with pictures taken by the `` Galileo '' spacecraft on August 28 , 1993 .",It was discovered in images taken by the `` Galileo '' spacecraft during its flyby in 1993 .
The diet of the indigo bunting is insects during the summer months and seeds during the winter months .,The diet of the indigo bunting consists primarily of insects during the summer months and seeds during the winter months .
"It is the most basal known true ichthyosaur , shaped more or less like a dolphin .",It is the basal-most known true ichthyosaur ( Euichthyosauria ) .
"split the genus Triturus into three , and placed the alpine newt into its own genus `` Mesotriton '' .","divided the genus `` Triturus '' , placing the alpine newt into its own genus `` Mesotriton '' ."
There are about 200 different kinds of lichens in Antarctica .,"There are about 20,000 known species of lichens ."
The original operating principle was discovered in 1908 and since the subsequent development of the Geiger-Müller tube in 1928 the counter has been a very popular instrument due to its robust sensing detector and element and relatively low cost .,"The original detection principle was discovered in 1908 , but it was not until the development of the Geiger-Müller tube in 1928 that the Geiger-Müller counter became a practical instrument ."
"Lawrence left his 8,000 bird skins to the American Museum of Natural History .","He sold his collection of 8,000 bird skins to the American Museum of Natural History in 1887 ."
"Surveys in 1981 and 2003 in the Dhorpatan area of western Nepal found that there were 70 places where the birds were heard , suggesting that many birds exist in this area ( approximately 200 birds ) .","Surveys in 1981 and 2003 in the Dhorpatan area of western Nepal established 70 calling sites , suggesting substantial numbers exist in this area ( approximately 200 birds ) ."
The Northern Territory has large areas of desert .,The Northern Territory has one university .
In 1961 Jacob and Monod explored the idea that the control of enzyme expression levels in cells is a result of feedback on the transcription of DNA sequences .,In 1961 Jacob and Monod explored the idea that the control of enzyme expression levels in cells is a result of regulation of transcription of DNA sequences .
Full testing and spread of the system throughout the rice growing parts of the world did not happen until some years later with the help of schools like Cornell University .,However full testing and spread of the system throughout the rice growing regions of the world did not occur until some years later with the help of Universities like Cornell .
"It also thrives over the summertime in the central and northern United States , but dies out when temperatures reach freezing point , to grow again the next year if allowed to go to seed .",It will grow back the next year if allowed to go to seed .
"The salamanders may grow up to long , and are found in the western USA and southwestern British Columbia .","Specimens are up to long , and are found in the western USA and southwestern British Columbia ."
Myomimus is a genus of dormouse in the Gliridae family .,Myomimus is a genus of rodent in the family Gliridae .
Professor Dr. Gottlieb Wilhelm Leitner or Gottlieb William Leitner ( 14 October 1840 – 22 March 1899 ) was a British orientalist of Hungarian roots .,"Gottlieb Wilhelm Leitner or Gottlieb William Leitner M.A. , Ph.D. , L.L.D. , D.O.L ."
"For monatomic helium and other noble gases , the internal energy consists only of the translational kinetic energy of the individual atoms .",Here the kinetic energy consists only of the translational energy of the individual atoms .
The model does not contain any dark matter particle that has all the properties got from observational cosmology .,The model does not contain any viable dark matter particle that possesses all of the required properties deduced from observational cosmology .
He was best known for co-discovering the Comet Shoemaker–Levy 9 with his wife Carolyn Shoemaker and David Levy .,He is best known for co-discovering the Comet Shoemaker–Levy 9 with his wife Carolyn S. Shoemaker and David H. Levy .
The Plasma Window was created at Brookhaven National Laboratory by Ady Hershcovitch .,The Plasma Window was invented at Brookhaven National Laboratory by Ady Hershcovitch and patented in 1995 .
"It first started on the Fox network in the United States on November 22 , 1990 .","It originally aired on the Fox network in the United States on November 22 , 1990 ."
Magnesite have been discovered in these hills .,Magnesite deposits have discovered in these hills .
"Coffee , vitamin C , and dairy products , as well as physical fitness appear to decrease the risk .","The consumption of coffee , vitamin C , and dairy products , as well as physical fitness , appear to decrease the risk ."
It was first developed in 1952 by Simonds Farsons Cisk in Malta .,It was first developed in 1952 by Simonds Farsons Cisk .
Its age is less than a billion years .,Its age is estimated at less than a billion years .
"They appeared somewhere in the Late Permian , before the time of the dinosaurs .","They appeared sometime in the Late Permian , before the time of the dinosaurs ."
"Each of these mirrors has a surface measuring 120 square meters ( 1,290 square feet ) that concentrates the Sun 's rays to the top of a 115 meter ( 377 foot ) high tower where a solar receiver and a steam turbine are located .","Each of these mirrors has a surface measuring 120 square meters ( 1,290 square feet ) that concentrates the Sun 's rays to the top of a 115-meter ( 377 feet ) high tower where a solar receiver and a steam turbine are located ."
It was founded in 1938 in South Korea by Lee Byoung Chul .,It was founded in January 1969 .
"Furthermore , a ring made of boulders would be expected to generate dust that would likely have been seen in the images .","Furthermore , a ring of boulders would be expected to generate dust that would likely have been seen in the images ."
The Atacama Large Millimeter/sub-millimeter Array ( ALMA ) is an array of radio telescopes in the Atacama Desert of northern Chile .,The Atacama Large Millimeter/submillimeter Array ( ALMA ) is an astronomical interferometer of radio telescopes in the Atacama desert of northern Chile .
The Leopard seal ( `` Hydrurga leptonyx '' ) is the second largest species of seal in the Antarctic ( after the Southern Elephant Seal ) .,"The leopard seal ( `` Hydrurga leptonyx '' ) , also referred to as the sea leopard , is the second largest species of seal in the Antarctic ( after the southern elephant seal ) ."
"And over the course of the 19th century , the word `` science '' became increasingly associated with the scientific method itself , as a way to study the natural world , including physics , chemistry , geology and biology .","Over the course of the 19th century , the word `` science '' became increasingly associated with the scientific method itself , as a disciplined way to study the natural world ."
"The Blacknose shark is found in the continental and insular shelves off the eastern coast of the Americas , as far north as North Carolina and as far south as southern Brazil , including the Bahamas , the Gulf of Mexico , and the Caribbean Sea .","The blacknose shark inhabits the continental and insular shelves off the eastern coast of the Americas , as far north as North Carolina and as far south as southern Brazil , including the Bahamas , the Gulf of Mexico , and the Caribbean Sea ."
"It borders Pakistan 's North-West Frontier to the west , Afghanistan and China to the north , Indian-occupied Jammu and Kashmir to the east , leading to the frozen wastes of the Third Pole .","It borders the Pakistani province of Khyber Pakhtunkhwa to the west , Afghanistan and China to the north and Indian-administered Jammu and Kashmir to the east , leading to the frozen wastes of the Siachen glacier ."
The gestation period ( when a baby grows inside the mother ) of a gorilla lasts between eight and ten months .,The gestation period lasts 8.5 months .
The nucleases make specific double-strand breaks ( DSBs ) at desired places in the genome .,These nucleases create site-specific double-strand breaks ( DSBs ) at desired locations in the genome .
Freshly hatched larvae may be smaller than 0.05 mm .,Newly hatched tardigrades may be smaller than 0.05 mm .
It has since been determined that it does not exist as it was never seen again .,It has since been determined that no such moon exists .
"where { A } is the activity of the chemical species A , etc .","where { A } is the activity , at equilibrium , of the chemical species A , etc ."
"Mate also contains elements such as potassium , magnesium and manganese .","Yerba mate also contains elements such as potassium , magnesium , and manganese ."
"The basic theory , widely agreed , is that highly conserved DNA sequences must have functional value , though the role for many of these highly conserved non-coding DNA sequences is not known .",The role for many of these highly conserved non-coding DNA sequences is not understood .
In 1903 Bohr began studies of philosophy and mathematics at the Copenhagen University .,"In 1903 , Bohr enrolled as an undergraduate at Copenhagen University ."
"Looking at reconnaissance info gotten from an NOAA plane investigating the depression , it was upgraded to Tropical Storm Erin on August 15 .","Based on reconnaissance data received from an NOAA plane investigating the depression , it was upgraded to Tropical Storm Erin on August 15 ."
He won the Nobel Prize in Physiology or Medicine in 1952 `` for his discovery of `` streptomycin '' the first antibiotic active against tuberculosis . '',"Waksman was awarded the Nobel Prize in 1952 `` for his discovery of streptomycin , the first antibiotic effective against tuberculosis . ''"
Milanković made two fundamental contributions to science .,Milanković gave two fundamental contributions to global science .
"NASA 's `` Voyager 2 '' probe made a quick flyby of the planet with its closest encounter on August 25 , 1989 , and was the last planet to have been visited by at least one spacecraft .",`` Voyager 2 '' is the only spacecraft that has visited Neptune .
In the 19th century it was thought the Earth was perhaps 100 million years old .,This led him to believe the Earth was several million years old .
There were three or four significant ice ages during the late Neoproterozoic .,There are three or four significant ice ages during the late Neoproterozoic .
Australia had titanosaurs around 96 million years ago : fossils have been discovered in Queensland of a creature around 25 meters long ( 82 feet ) .,Australia had titanosaurs around 96 million years ago : fossils have been discovered in Queensland of a creature around long .
"Using NASA 's satellite images and records of the number of people there , Liu 's research team concluded that due to tourism and the increase in the number of people , the reserve is facing an unprecedented threat .","Using NASA 's satellite images and records of population , Liu 's research team concluded that due to tourism and the increase in local population , the reserve is facing an unprecedented threat ."
"Anatomical study led him to the conclusion that 'individual Africans differ as much , or even more , from other individual Africans as Europeans differ from Europeans ' .","Further anatomical study led him to the conclusion that 'individual Africans differ as much , or even more , from other individual Africans as Europeans differ from Europeans ' ."
He received his Assistant Professorship in Technical Sciences ( Ph.D. ) for his work `` Mechanics of deformable solids '' in Vladivostok in 1994 .,He received his assistant professorship in technical sciences ( PhD ) for his work `` Mechanics of deformable solids '' in Vladivostok in 1994 .
"They are bosons , which means that they have a spin of 0 or 1 .",The three particles have a spin of 1 .
"Given the ~10° uncertainty in the actual rotational axis of Camilla , the orbit 's inclination probably is less than 10° .","Given the ~10° uncertainty in the actual rotational axis of Camilla , one can say that the orbit 's inclination is less than 10° ."
"Maude Naismith died in 1937 , and on June 11 , 1939 , he married his second wife Florence Kincaid .","Maude Naismith died in 1937 , and on June 11 , 1939 , he married his second wife Florence B. Kincaid ."
"Jin teaches at Boston University in Boston , Massachusetts .","Jin currently teaches at Boston University in Boston , Massachusetts ."
"After he got his high school diploma , Mello went to Brown University , where he studied biochemistry and molecular biology .","After receiving his high school diploma , Mello attended Brown University as a biochemistry and molecular biology major ."
"The first sports psychology laboratory was opened in 1920 in Berlin , Germany by Carl Diem .","The first sports psychology laboratory was founded by Dr. Carl Diem in Berlin , in the early 1920s ."
Reversals occur at intervals from less than 0.1 million years to as much as 50 million years .,Reversals occur at apparently random intervals ranging from less than 0.1 million years to as much as 50 million years .
"Where common , roe deer are the preferred prey species for the lynx .","Where common , roe deer appear to be the preferred prey species for the lynx ."
Masturbation may increase fertility during sexual intercourse .,Masturbation may increase fertility during intercourse .
"The book was bought by Wynwood Press , which published it in June 1988 .",It was published in June 1989 .
"Basil plants can even be grown in a basement , under fluorescent lights .","It can , however , be grown even in a basement , under fluorescent lights ."
"Wallace continued charting the Amazon for four years , collecting specimens and making notes on the peoples , the languages , the geography , flora , and fauna .","Wallace continued charting the Rio Negro for four years , collecting specimens and making notes on the peoples and languages he encountered as well as the geography , flora , and fauna ."
The lack of large-scale predation and vertical burrowing are perhaps the most significant factors limiting the ecological diversity ; the emergence of these during the early Cambrian allowed the number of lifestyles occupied to rise to 30 .,The lack of large-scale predation and vertical burrowing are perhaps the most significant factors limiting the ecological diversity ; the emergence of these during the Early Cambrian allowed the number of lifestyles occupied to rise to 30 .
They were first invented by Sidney L. Pressey .,They were first invented by Sidney L. Pressey in the mid-1920s .
"Armed with this gene , the former II-R strain bacteria were now protected from the host 's immune system and could kill the host .","Equipped with this gene , the former II-R strain bacteria were now protected from the host 's immune system and could kill the host ."
The discovery of place cells in the 1970s led to a theory that the hippocampus might act as a cognitive map a neural representation of the layout of the environment .,The discovery of place cells in the 1970s led to a theory that the hippocampus might act as a cognitive map—a neural representation of the layout of the environment .
"In 1969 , John Ostrom recognized that `` Dromaeosaurus '' shared many features with `` Velociraptor '' and the newly-discovered `` Deinonychus '' , and assigned these forms to a new family : Dromaeosauridae .","In 1969 , John H. Ostrom recognized that `` Dromaeosaurus '' shared many features with `` Velociraptor '' and the newly discovered `` Deinonychus '' , and assigned these forms to a new family : Dromaeosauridae ."
"The electrons hit the molecules , causing the molecule to fragment in a characteristic way that can be repeated .","The electrons bombard the molecules , causing the molecule to fragment in a characteristic and reproducible way ."
UV Ceti is a red dwarf of spectral type M6.0e .,It is a red dwarf of spectral type M5.5e .
"Reader 's Digest has a total sales of 17 million copies , making it the largest paid circulation magazine in the world .","It has a global circulation of 10.5 million , making it the largest paid circulation magazine in the world ."
The first was developed by Jonas Salk and first tested in 1952 .,It was developed by Jonas Salk and came into use in 1955 .
"Females spawn once per year and regenerate their gonads , making nautiluses the only cephalopods to repeat reproduction .","Females spawn once per year and regenerate their gonads , making nautiluses the only cephalopods to present iteroparity or polycyclic spawning ."
Romero went to Pittsburgh 's Carnegie Mellon University .,Romero attended Pittsburgh 's Carnegie Mellon University .
"During this survey , the Beagle Gulf was named after the ship .","During this survey , the Beagle Channel was identified and named after the ship ."
"A white blood cell count as high as 40.0×10/L ( 40,000/mm ) has been documented in people with gout .","A white blood cell count as high as 40.0×10/l ( 40,000/mm ) has been documented ."
This shark can be a danger to people since many people do n't have the knowledge that Bull sharks can be found in rivers and freshwater .,Crocodiles may be a threat to bull sharks in rivers .
Cell division stops at the end of embryonic development and further growth is only by cell enlargement .,Cell division ceases at the end of embryonic development and further growth is solely due to cell enlargement .
The harvesting of biogas is an important role of waste management because methane is a greenhouse gas with a greater global warming potential than carbon dioxide .,The methane in biogas is 20 times more potent a greenhouse gas than carbon dioxide .
More than a thousand of them represented species new to science .,Several thousand of them represented species new to science .
"Beutler is currently Director of the Center for the Genetics of Host Defense at the University of Texas Southwestern Medical Center in Dallas , Texas and Professor and Chairman of the Department of Genetics at The Scripps Research Institute , in La Jolla , California .","Beutler is currently Director of the Center for the Genetics of Host Defense at the University of Texas Southwestern Medical Center in Dallas , Texas ."
"The newest ones are and , which were both release on November 11 , 2014 .","It was released on November 16 , 2012 ."
The function of the reaction center chlorophyll is to use the energy transferred to it from the other chlorophyll pigments to undergo a specific redox reaction .,The function of the reaction center of chlorophyll is to absorb light energy and transfer it to other parts of the photosystem .
It softens water and removes oil and grease at the same time .,It softens water while removing oil and grease .
`` Major accusation : Half a century of clericalism in Croatia '' ) is a book first published in Zagreb in 1948 .,The book was first published in Zagreb in 1948 .
"It was released in the U.S. on September 11 , 2007 .","It was released on March 7 , 2006 ."
"Radio observations and Hubble Space Telescope images of M84 have revealed two jets of matter shooting out from the galaxy 's centre , as well as a disk of rapidly rotating gas and stars .",Radio observations and Hubble Space Telescope images of M84 have revealed two jets of matter shooting out from the galaxy 's center as well as a disk of rapidly rotating gas and stars indicating the presence of a supermassive black hole .
"It is an alkaline earth metal and the eighth most abundant element in the Earth 's crust , where it constitutes about 2 % by mass , and ninth in the known universe as a whole .",Magnesium is the eighth-most-abundant element in the Earth 's crust by mass and tied in seventh place with iron in molarity .
The university 's research budget was more than $ 765 million for the 2009-2009 fiscal year .,The university 's research expenditures totaled $ 813 million during the 2014 fiscal year .
`` Amborella '' is of great interest to plant systematists because molecular phylogenetic analyses put it at or near the base of the flowering plant lineage .,`` Amborella '' is of great interest to plant systematists because molecular phylogenetic analyses consistently place it at or near the base of the flowering plant lineage .
Packrats are common in the deserts and highlands of the western United States and northern Mexico .,Woodrats reach their greatest diversity in the deserts of the western United States and northern Mexico .
"Myoglobin , which is similar to haemoglobin , is the main oxygen-carrying pigment of muscle tissues .",Myoglobin is the primary oxygen-carrying pigment of muscle tissues .
Newton 's Second Law of Motion describes the transfer of energy for impulse turbines .,Newton 's third law describes the transfer of energy for reaction turbines .
"Male seasonal breeders may have changes in testosterone levels , testes weight , and fertility depending on the time of year .","Male seasonal breeders may exhibit changes in testosterone levels , testes weight , and fertility depending on the time of year ."
Upon returning to Bangladesh he joined the faculty of the Computer Science and Engineering department at SUST .,Upon returning to Bangladesh he joined the faculty of the CSE department at SUST .
"In 1989 , the Great Dark Spot , a cyclonic storm system the size of Eurasia , was discovered by NASA 's `` Voyager 2 '' spacecraft .","In 1989 , the Great Dark Spot , an anti-cyclonic storm system spanning 13000 × 6600 km , was discovered by NASA 's `` Voyager 2 '' spacecraft ."
One study reported a significantly higher rate of masturbation in gay men and women who were in a relationship .,A study has reported a significantly higher rate of masturbation in gay men and women who were in a relationship .
"It is the 9th biggest island of the world , and at is Canada 's second largest island and nearly double the size of Newfoundland ( or only slightly bigger than the size of the island of Great Britain ) .","It is the eighth largest island in the world , and at is Canada 's second largest island ."
This giant snake ( which is called the water boa ) lives in swampy areas of tropical South America .,An anaconda is a large snake found in tropical South America .
He worked at Lick Observatory beginning in 1888 but was appointed director of the University of Pittsburgh 's Allegheny Observatory in 1891 .,"Keeler worked at Lick Observatory beginning in 1888 , but left after being appointed director of the University of Pittsburgh 's Allegheny Observatory in 1891 ."
He obtains his doctoral at the Pierre-and-Marie-Curie University in 1977 .,He argued his doctoral thesis at the Pierre-and-Marie-Curie University in 1977 .
Recent phylogenetic analyses support Vitaceae as the sister-group to all other rosids ( Jansen et al .,Phylogenetic analyses support Vitaceae as the sister-group to all other rosids ( Jansen et al .
In September 2004 the Department for Education and Skills ( DfES ) awarded the school status as a Science College .,In September 2004 the Department for Education and Skills ( DfES ) awarded the school specialist school status as a Science College .
"The Upper Jurassic of North America , however , is the exact opposite of the Middle Jurassic .","The Late Jurassic of North America , however , is the exact opposite of the Middle Jurassic ."
The light beam is also collimated on the orbit plane of the electrons .,It is also collimated on the orbit plane of the electrons .
"McClintock 's research became well understood in the 1960s and 1970s , as researchers discovered the mechanisms behind the genetic change and gene regulation that she had shown in her maize research in the 1940s and 1950s .","McClintock 's research became well understood in the 1960s and 1970s , as other scientists confirmed the mechanisms of genetic change and genetic regulation that she had demonstrated in her maize research in the 1940s and 1950s ."
Alternating current generating systems were known from the discovery of the magnetic induction of electric current .,Alternating current generating systems were known in simple forms from the discovery of the magnetic induction of electric current in the 1830s .
She was honoured by the Royal Astronomical Society for this work .,She was honoured by the Royal Astronomical Society for this work in 1828 .
Histones undergo changes which alter their interaction with DNA and nuclear proteins .,Histones undergo posttranslational modifications that alter their interaction with DNA and nuclear proteins .
