The first official complete sell out came at Revolution 14 and is now a regular occurrence .,The first official sell-out was Revolution 14 .
"The Grand Prix was moved to Monsanto Park , Lisbon , in 1954 as a one time event .","The Grand Prix was moved to Monsanto Park , Lisbon , in 1954 as a one-off ."
The sport ( s ) which were played at that venue is listed after it .,The sport ( s ) that were played at that venue are listed after it .
Ted Lindsay • Doug Bentley • Gordie Howe,Ted Lindsay • Jean Beliveau • Gordie Howe
Pokrivač has played for the Croatian under-21 national team and has also played at under-17 and under-19 levels .,Pokrivač has played for the Croatian under-21 national team and has also represented the country at both the under-17 and under-19 levels .
"In the tournament , Becker himself became the first member of the `` club '' .","In the same tournament , Becker himself became the first member of the `` club '' ."
"Pavel Vladimirovich Bure ( ; born on March 31 , 1971 in Moscow , Russian SFSR ) is a Russian retired professional ice hockey right winger .","Pavel Vladimirovich Bure ( , ; born March 31 , 1971 ) is a retired Russian professional ice hockey right winger ."
"Singaporeans are encouraged to sing the national anthem during times of national celebration or at important national events such as at the National Day Parade , at National Day observance ceremonies held by government departments and educational institutions such as schools and universities , and at sports events that Singapore teams take part in .","Singaporeans are especially encouraged to sing the national anthem on occasions of national celebration or national significance such as at the National Day Parade , at National Day observance ceremonies conducted by educational institutions and government departments , and at sporting events at which Singapore teams are participating ."
"When Pillman returned , he was betrayed by Austin and was defeated in a singles match against Austin at Clash of the Champions XXV .","After Pillman returned , Austin betrayed and defeated him in a singles match at `` Clash of the Champions XXV '' ."
"In August 2007 , Hager went back to Florida Championship Wrestling , where he began a rivalry with TJ Wilson .","In August 2007 , Hager was reassigned to Florida Championship Wrestling ( FCW ) , where he began a feud with TJ Wilson ."
The National Olympic Committee for Sri Lanka was formed in 1937 and recognized by the International Olympic Committee the same year .,The National Olympic Committee for Sri Lanka was created in 1937 and recognized by the International Olympic Committee that same year .
"The 2010 Winter Olympics , officially known as the XXI Olympic Winter Games , were the Winter Olympics that were held in Vancouver , British Columbia , Canada in 2010 .",The 2010 Winter Olympics were the third Olympics hosted by Canada and the first by the province of British Columbia .
This ended the hopes the season would start and also put the future of the series in doubt .,This put an end to the hopes the season would start and also put the future of the series in doubt .
John LeClair • Peter Forsberg • Jaromir Jagr,John LeClair • Eric Lindros • Jaromir Jagr
"By 1925 , the west and south stands were completed , making the stadium a 30,000-seat horseshoe with an open north end .","By 1925 , the east and south stands were completed , making the stadium a 30,000-seat horseshoe with an open north end ."
"He was a quarterback for the New England Patriots , the Buffalo Bills and the Dallas Cowboys .",He also played for the Buffalo Bills and the Dallas Cowboys .
"Jürgen Grabowski ( born 7 July , 1944 ) is a former German football player .",Jürgen Grabowski ( born 7 July 1944 in Wiesbaden ) is a former German footballer .
Bandy World Championship for men has been played recurringly since 1957 .,Swedish championships for men have been played annually since 1907 .
"When the pay-per-view was about to end , Punk ran down to the ring , cashed in his Money in the Bank contract and defeated Jeff Hardy to win the World Heavyweight Championship .","At the end of the pay-per-view , Punk cashed in his Money in the Bank contract to defeat Jeff Hardy for the World Heavyweight Championship ."
He plays catcher for the Detroit Tigers .,He previously played for the Detroit Tigers .
Inge Joanna Francisca Vermeulen ( 6 January 1985 – 10 January 2015 ) was a Brazilian-Dutch field hockey player .,Inge Vermeulen ( 6 January 1985 – 10 January 2015 ) was a Brazil-born Dutch field hockey player .
Backlash ( 2004 ) was a professional wrestling pay-per-view event produced by World Wrestling Entertainment ( WWE ) .,Backlash ( 2004 ) was the sixth annual Backlash professional wrestling pay-per-view event produced by World Wrestling Entertainment ( WWE ) .
"Albert Gelis Juanola ( born October 26 , 1981 in Sant Joan Les Fonts , Girona ) is a swimmer from Spain .","Albert Gelis Juanola ( born October 26 , 1981 in Sant Joan Les Fonts , Girona ) is a vision impaired S12 swimmer from Spain ."
"For the second year in a row , WrestleMania broke the record for the highest-grossing pay-per-view in WWE history and for the Citrus Bowl , grossing in $ 5.85 million in ticket sales .","For the second consecutive year , WrestleMania broke the record for the highest-grossing pay-per-view in WWE history ."
"Richard Herrmann ( born 28 January , 1923 and died 27 July 1962 ) was a former German football player .","Richard Herrmann ( 28 January 1923 in Katowice , Poland – 27 July 1962 ) was a German football player ."
"When Russell was drafted by the Oakland Raiders , Flynn finally became a starter as a fifth-year senior .","With JaMarcus Russell 's departure , Flynn became a starter as a fifth-year senior ."
"Christopher Mabee ( born on August 26 , 1985 in Tillsonburg , Ontario ) is a figure skater from Canada .","Christopher Mabee ( born August 26 , 1985 in Tillsonburg , Ontario ) is a Canadian retired competitive figure skater ."
He was picked by the Boston Bruins with the twenty-first overall pick in the 1990 NHL Entry Draft .,The Boston Bruins drafted him 21st overall in 1990 .
"On June 24 , 2013 , He won his second Stanley Cup with the Blackhawks after they defeated the Boston Bruins 4 games to 2 in the 2013 Stanley Cup Finals .",Seabrook won his second Stanley Cup as the Blackhawks beat the Bruins in six games .
Zidane was born in Marseille and is of Kabyle Berber descent .,Zidane is of Algerian Kabyle Berber descent .
There are three types of gloves worn by ice hockey players .,There are three styles of gloves worn by ice hockey players .
In September 2007 the IOA announced that the debut race would take place in 2010 on the Jaypee Group Circuit in Greater Noida .,"However , in September 2007 it was announced that the debut race would take place in 2010 on the Buddh International Circuit in Greater Noida ."
"On 12 April 2014 , he scored a stoppage-time equalizer as `` Spurs '' came from 3–0 down to draw 3–3 at West Bromwich Albion .","On 12 April 2014 , Eriksen scored a stoppage-time equalizer as Tottenham came from 3–0 down to draw 3–3 at West Brom ."
"Hendry started playing snooker in 1981 , aged 12 , and became at 16 years the youngest ever professional .",At 16 years and three months old he was the youngest ever professional .
He was also LSU 's holder on placekicks .,He also doubled as LSU 's holder on placekicks .
He also kept the Dodgers close to the lead for the 1951 pennant .,He also kept the Dodgers in contention for the 1951 pennant .
"The coast of Yemen and Socotra island have opportunities for water sports , such as surfing , sailing , swimming , and scuba diving .","The coastal areas of Yemen and Socotra island also provide many opportunities for water sports , such as surfing , bodyboarding , sailing , swimming , and scuba diving ."
"Normally the lowest number of games a goaltender must play to be eligible for the trophy is 25 , but for the lockout shortened 1994–95 season , the lowest was fourteen games .","Normally the minimum number of games a goaltender must play to be eligible for the trophy is 25 , but for the lockout shortened 1994–95 season , the required minimum was fourteen games ."
"Gordie Howe , OC ( born March 31 , 1928 in Floral , Saskatchewan , Canada ) is a Canadian retired professional ice hockey player .","Gordon `` Gordie '' Howe , OC ( born March 31 , 1928 ) is a Canadian retired professional ice hockey player ."
An orange raccoon-like creature known as `` Mello '' was the mascot for the 2007 Cricket World Cup .,"Stumpy , a blue elephant was the mascot for the 2011 World Cup ."
Jones was a huge favorite coming into the bout .,Jones was a massive favorite coming into the bout .
"The first semifinal took place on 6 May 2014 , the second semifinal on 8 May 2014 and , the Grand final was held on 10 May 2014 .","The two semi-finals took place on 6 May and 8 May 2014 , and the final on 10 May 2014 ."
The team played its home games at Deva Stadium .,and would play at the Deva Stadium .
"Triple H insisted that Evolution accompanied Batista anyway , saving him from the oncoming limousine .","Triple H insisted that Evolution accompany Batista anyway , saving him from the oncoming limousine ."
Each of its seven seasons was nominated for the award .,Each of its seven seasons earned a nomination for the award .
He was the seventh goaltender acquired the Flyers ' for the 2009–2010 NHL season .,He was the seventh goaltender acquired by the Flyers ' for the 2009–10 NHL season .
John LeClair • Eric Lindros • Jaromir Jagr,John LeClair • Eric Lindros • Alexander Mogilny
Then the guns switched roles to tools for game wardens and as backup firearms for professional hunters guiding international hunters .,"Thereafter , they largely switched roles to tools for game wardens and as back-up firearms for professional hunters guiding international hunters ."
Rocca was responsible for the revival of the New York City Metropolitan-Area territory in the late 1940s which would eventually become part of the modern World Wrestling Entertainment .,"He was responsible for the revival of the New York City Metropolitan-Area territory in the late 1940s , which would eventually become part of the modern day World Wrestling Entertainment ."
St Kitts and Nevis has never been at the Winter Olympic Games .,St Kitts and Nevis has never competed at the Winter Olympic Games .
"In 2000 , he finished first in the 150 meter individual medley , in the 4 x 50 meters 20 point freestyle relay and in the 4 x 50 meters 20 point medley relay .","In 2004 , he won a silver in the 150 meter individual medley and a bronze in the 4 x 50 meters 20 point medley relay ."
"For the 2003 event , the final corner and chicane were changed in an effort to increase overtaking .","For the 2003 event , the final corner and chicane were changed in an effort to increase overtaking , with little effect ."
"He started for OVW , by defeating Atlas DaBone , and in the following months began a rivalry with K.C .","He debuted for the promotion by defeating Atlas DaBone , and in the following months began a feud with K.C ."
"After less than two seasons with Boston , Ranford was dealt to the Washington Capitals on March 1 , 1997 with Adam Oates and Rick Tocchet for Jason Allison , Anson Carter , Jim Carey , a conditional draft pick in the 1998 Entry Draft , and a 3rd Round Pick in the 1997 Entry Draft ( Lee Goren ) .","After fewer than two seasons with Boston , Ranford was dealt to the Washington Capitals on March 1 , 1997 with Adam Oates and Rick Tocchet for Jason Allison , Anson Carter , Jim Carey , a conditional draft pick in the 1998 Entry Draft , and a Third Round Pick in the 1997 Entry Draft ( Lee Goren ) ."
"The many other sports with professional teams in the Czech Republic include basketball , volleyball , handball , athletics , floorball and others .","The many other sports with professional leagues and structures include basketball , volleyball , team handball , Czech handball , athletics , floorball and others ."
"The NHL 's Northeast Division was formed in 1993 as part of the Eastern Conference in a league adjustment , the predecessor of which was the Adams Division .",The NHL 's Northeast Division was formed in 1993 as part of the Eastern Conference in a league realignment .
He was re-signed on October 29 after an injury to offensive tackle Sam Baker but he was not resigned by the Falcons in the offseason .,He was re-signed on October 29 after an injury to offensive tackle Sam Baker .
"He played for a three clubs including Taj Abadan , Taj Tehran ( Esteghlal ) , and Shahbaz FC , as well as the Iranian national team .","He played for a three clubs including Taj Abadan , Taj Tehran ( Esteghlal ) , and Shahbaz FC , as well as the Iranian national team and the national youth team of Iran ."
"On 4 May 1951 , Sir Hugh Beaver , who then worked for Guinness Breweries , went on a shooting party by the River Slaney in County Wexford , Ireland .","On 10 November 1951 , Sir Hugh Beaver , then the managing director of the Guinness Breweries , went on a shooting party in the North Slob , by the River Slaney in County Wexford , Ireland ."
"It was the 22nd annual SummerSlam event and featured wrestlers from the Raw , SmackDown , and ECW brands .","It was the twenty-second annual SummerSlam event and featured talent from the Raw , SmackDown , and ECW brands ."
Survivor Series ( 1987 ) was a professional wrestling pay-per-view show made by World Wrestling Federation ( WWF ) .,Survivor Series ( 1987 ) was the first Survivor Series pay-per-view event produced by the World Wrestling Federation ( WWF ) .
"Christopher Jason Witten ( born May 6 , 1982 ) is an American football tight end for the Dallas Cowboys of the National Football League .","Christopher Jason Witten ( born May 6 , 1982 ) is an American football tight end for the Dallas Cowboys of the National Football League ( NFL ) ."
"After that season , the rules for awarding the Calder were amended so that players could only be eligible if they were 26 years old or younger by September 15 of their rookie season .","After that season , the rules for awarding the Calder were amended so that players could only be eligible if they were under 26 years old by September 15 of their rookie season ."
"There is a new item called the Super Bell , that turns the player into their cat form , which allows players to climb up walls , run faster , perform unique attacks , and run up to the top of the pole at the end of each level .","The Super Bell gives players a Cat Suit , allowing them to run faster , perform unique attacks and climb up walls to reach new areas ."
"Bartolo rushes in , but is too late .","Bartolo barges in , but is too late ."
"Audley Kendrick Tuten ( January 14 , 1915 – May 7 , 1994 ) was an American professional ice hockey player that played 39 games in the NHL for the Chicago Black Hawks .","Audley Kendrick Tuten ( January 14 , 1914 – May 7 , 1994 ) was a professional ice hockey player who played 39 games in the National Hockey League ."
SummerSlam is a yearly professional wrestling pay-per-view ( PPV ) event held in August by World Wrestling Entertainment ( WWE ) .,"SummerSlam is a professional wrestling pay-per-view ( PPV ) event , produced annually in August by professional wrestling promotion WWE ."
Below is the list of Wikipedia articles about basketball players who have played for the `` Memphis Grizzlies '' NBA team .,This is a list of basketball players who have played in the NBA for the Memphis Grizzlies .
He convinces Trumpkin the dwarf that they are the Kings and Queens from the legend by defeating him in a sword-fighting practice .,He convinces Trumpkin the dwarf that they are the Kings and Queens from the legend by defeating him in a sparring practice .
The Bermuda Rugby Union team won the 2011 Caribbean championships – defeating Guyana in the final .,Bermuda u/19 team won the 2010 Caribbean Championships .
"He won the silver medal in the individual road race at the 1948 Summer Olympics in London , United Kingdom .",As an amateur he won the silver medal in the individual road race at the 1948 Summer Olympics in London .
Ted Lindsay • Jean Beliveau • Maurice Richard,Ted Lindsay • Elmer Lach • Maurice Richard
This is a list of cricketers who play Test cricket for Pakistan .,This is a list of Pakistani Test cricketers .
"William M. Jennings ( December 14 , 1920 – August 17 , 1981 ) was an owner in the National Hockey League .","William M. Jennings ( December 14 , 1920 – August 17 , 1981 ) was an executive in the National Hockey League ."
"Newcastle manager Chris Hughton , club representatives and both players declined to comment any further on the incident .","Newcastle manager Chris Hughton , club representatives and both players declined to comment any further on the incident and no charges were pressed ."
"On the March 18 edition of `` Saturday Night 's Main Event '' , Michaels faced off against Shane in a Street Fight .","At `` Saturday Night 's Main Event '' , Michaels faced off against Shane in a Street Fight ."
Kosuke Suda ( born 4 February 1980 ) is a former Japanese football player .,"Kosuke Suda ( born February 4 , 1980 in Japan ) is a former Japanese football player ."
The National Olympic Committee for Tajikistan was formed in 1992 and recognized by the International Olympic Committee in 1993 .,The National Olympic Committee for Tajikistan was created in 1992 and recognized by the International Olympic Committee in 1993 .
"On June 25 , 2007 , `` Raw '' was scheduled in Corpus Christi , Texas to be a three-hour special memorial show for the ( kayfabe ) death of the Mr. McMahon character after he had been presumed dead in a limo explosion .","On June 25 , 2007 , `` Raw '' was scheduled in Corpus Christi , Texas to be a three-hour special memorial show for the storyline death of the Mr. McMahon character ."
Michael Schumacher holds the record for the most Grand Prix victories .,"Michael Schumacher holds the record for the most Grand Prix victories , having won 91 times ."
"Vernor Vivian `` Jake , Jumpin ' Jackie '' Forbes ( July 4 , 1897 in Toronto , Ontario – December 30 , 1985 ) , was a Canadian professional ice hockey goaltender who played thirteen seasons in the National Hockey League for the Toronto St. Patricks , Hamilton Tigers , New York Americans and Philadelphia Quakers .","Vernor Vivian `` Jake , Jumpin ' Jackie '' Forbes ( July 4 , 1897 – December 30 , 1985 ) was a Canadian professional ice hockey goaltender who played thirteen seasons in the National Hockey League for the Toronto St. Patricks , Hamilton Tigers , New York Americans and Philadelphia Quakers ."
"On July 20 , 1952 , the first Olympic gold medal for the country was won by Nina Romashkova in the women 's discus throw .","On July 20 , 1952 , the first Olympic gold medal in the history of Soviet sport was won by Nina Romashkova in the women 's discus throw ."
"It was founded on 26 March 1947 , and joined FIFA on the same year .","It was founded on 26 March 1947 , joined FIFA the same year , and UEFA in 1954 ."
"The local leisure complexes include the Galleon Centre : with a 25 metre swimming pool , baby pool , ice rink , squash courts , sauna , gym , games hall , bar area , bowling green and the New Northwest Centre ( formerly the Hunter Centre ) which contains an up-to-date community gym and various local medical facilities .","The local leisure complexes include the Galleon Centre : with a 25 metre swimming pool , baby pool , ice rink , squash courts , sauna , gym , games hall , bar area , bowling green and the New Northwest Centre ( formerly the Hunter Centre ) which contains a community gym and various local medical facilities ."
"William Joseph Mosconi ( ; June 27 , 1913 – September 12 , 1993 ) was an American professional pool ( pocket billiards ) player from Philadelphia , Pennsylvania .","William Joseph Mosconi ( ; June 27 , 1913 – September 17 , 1993 ) , generally known as Willie Mosconi , was an American professional pool ( pocket billiards ) player from Philadelphia , Pennsylvania ."
"On September 30 , 2007 , during the Week 4 game against the Pittsburgh Steelers , he went in for Leinart because he was not playing well again .","On September 30 , 2007 , during the week four game against the Pittsburgh Steelers , Warner relieved Leinart again , following another ineffective start ."
The Giants defeated the Patriots by the score of 21–17 .,The Giants defeated the No .
He raced at the 2012 Summer Paralympics .,He competed at the 2012 Summer Paralympics .
The Saints play in the Southern Division of the National Football Conference ( NFC ) in the National Football League ( NFL ) .,They are currently members of the South division of the National Football Conference ( NFC ) of the National Football League ( NFL ) .
The first legs were played on 13 February and 14 February 2008 .,The matches were played on 16 and 30 August 2007 .
He was able to win the Florida Tag Team Championship with Mike Dalton before they lost the belts to CJ Parker and Jason Jordan .,Leakee later won the FCW Florida Tag Team Championship with Mike Dalton and would drop the titles to CJ Parker and Jason Jordan shortly after .
The following events use the `` green jersey '' to signify the current leader and/or final winner of the overall classification of the best climber :,The following events use the `` green jersey '' to signify the current leader and/or final winner of the overall classification by points ( often known as the sprinters competition ) :
"During the 2003 MotoGP Grand Prix of Japan , the track 's first major event since the revisions , MotoGP rider Daijiro Kato was killed when he crashed in the new section , on his way to the braking zone for the Casio Triangle .","During the 2003 MotoGP Grand Prix of Japan , the track 's first major event since the revisions , MotoGP rider Daijiro Kato was killed when he crashed in the new section , on his way to the braking zone for the Casio triangle ."
He played college ball at Louisiana State University .,Wilson pitched collegiately at Louisiana State University .
The XG finished 2nd in its first race at Michigan on 27 July 2003 .,"The XG finished second in its first race at Michigan on July 27 , 2003 ."
"He broadcast for many sports and events for NBC , including the National Football League , Major League Baseball , the National Basketball Association , the U.S. Open golf championship , college football , college basketball , the Wimbledon and French Open tennis tournaments , heavyweight boxing , Breeders ' Cup and other horse racing events , and the Olympic Games .","For the next 25 years , he broadcast a plethora of sports and events for NBC , including the National Football League , Major League Baseball , the National Basketball Association , the U.S. Open golf championship , college football , college basketball , the Wimbledon and French Open tennis tournaments , heavyweight boxing , Breeders ' Cup and other horse racing events , and the Olympic Games ."
"Before playing in the NHL , Fortier played 4 seasons with the Chicoutimi Saguenéens of the Quebec Major Junior Hockey League ( QMJHL ) .","In 2010 , He was the Recrutement director of the Quebec Major Junior Hockey League ."
They are a member of the NFC South of the National Football Conference ( NFC ) in the National Football League ( NFL ) .,They are a member of the South Division of the National Football Conference ( NFC ) in the National Football League ( NFL ) .
Frank Mahovlich • Stan Mikita • John McKenzie,Frank Mahovlich • Stan Mikita • Gordie Howe
"The 1979 World Cup saw the introduction of the ICC Trophy competition to select non-Test playing teams for the World Cup , with Sri Lanka and Canada qualifying .","The 1979 Cricket World Cup saw the introduction of the ICC Trophy , a competition used to select non-Test playing teams for the World Cup ."
"The main feud on the Raw brand going into the event was between John Cena , Bobby Lashley , King Booker , Mick Foley , and Randy Orton over the WWE Championship .","The main feud on the Raw brand heading into the event was between John Cena , Bobby Lashley , King Booker , Mick Foley , and Randy Orton over the WWE Championship ."
The compeition is named after Vasaloppet in Sweden .,The competition is named after Vasaloppet in Sweden .
"Nouria Mérah-Benida ( born October 19 , 1970 in Algiers ) is an Algerian middle distance runner .","Nouria Merah-Benida ( ) ( born October 19 , 1970 in Algiers ) is a former Algerian middle distance runner ."
They started in 1879 and play their home games at a stadium called Keepmoat Stadium .,Their home games are played at The Keepmoat Stadium .
The National Olympic Committee for Morocco was formed in 1959 .,The National Olympic Committee for Morocco was created in 1959 .
Swiss International Championship Serie A ( 1916-1933 ),Swiss National Championship Serie A ( 1909–1937 )
They lost the 1983 Stanley Cup final to the New York Islanders and the 2006 Stanley Cup Final to the Carolina Hurricanes .,"In the Stanley Cup Final , Edmonton met the Carolina Hurricanes ."
The Australian Sports Medal was an award given during 2000 to recognise achievements in Australian sport .,The Australian Sports Medal was awarded by the Governor-General .
He finished third in the 4 x 50 meter medley relay .,He finished fifth in the 50 meter butterfly race .
"Halák would collect his first shutout with the Blues on October 23 , 2010 at home against the Pittsburgh Penguins , stopping 31 shots in a 1–0 overtime victory .","Halák would earn his first shutout with the team on 23 October 2010 at home against the Penguins , stopping 31 shots in a 1–0 overtime victory ."
He completed 12 of 20 passes for 133 yards over the season .,Flynn completed 23 of 37 passes for 254 yards in the loss .
IGN rated the game a 7 out of 10 and GameSpot gave the game a 5 out of 10 .,IGN gave the game a 7/10 and GameSpot gave it a 5/10 .
"In this episode , Homer fires up the crowd at a Springfield Isotopes baseball game and is chosen to be the team 's new mascot .","In the episode , Homer fires up the crowd at a Springfield Isotopes baseball game and is chosen to be the team 's new mascot ."
Dallas Stars general manager Doug Armstrong also said : `` Roman was a quality young man who we were privileged to have in our organization for three years . '',Dallas Stars general manager Doug Armstrong expressed similar sentiments : `` Roman was a quality young man who we were privileged to have in our organization for three years . ''
"It was held on March 29 , 2015 at Levi 's Stadium in Santa Clara , California .","It took place on March 29 , 2015 , at Levi 's Stadium in Santa Clara , California ."
"Nikita Vasilyevich Filatov ( ; born May 25 , 1990 ) is a Russian professional ice hockey player who is currently a member of Salavat Yulaev of the Kontinental Hockey League ( KHL ) .","Nikita Vasilyevich Filatov ( ; born May 25 , 1990 ) is a Russian professional ice hockey left winger currently playing for Admiral Vladivostok of the Kontinental Hockey League ( KHL ) ."
"On most of the Pit Stops on the race , the last team to arrive is eliminated from the race .",The last team to set foot on the carpet may be eliminated from the race .
This was Russia 's first time hosting the Winter Olympics ( the Soviet Union hosted the 1980 Summer Games in Moscow though ) .,The Soviet Union was the host nation for the 1980 Summer Olympics in Moscow .
It may also contain background information about the organization or team attempting to reach those goals .,They typically have detailed information about the organization or team attempting to reach the goals .
He currently plays for the Montreal Alouettes of the Canadian Football League ( CFL ) .,He played for the Montreal Alouettes of the Canadian Football League ( CFL ) from 2014 to 2015 .
"Berger was third with 40 , Mansell was fourth with 31 , Boutsen was fifth with 30 , Piquet was sixth with 26 , Nannini seventh with 21 and Patrese eighth with 19 .","Berger led with Mansell , Senna , Nannini , Patrese and Prost behind ."
He wears a jersey with the name `` Benny '' with the number `` 1 '' above on his back .,His jersey bore the name `` Benny '' above the number `` 1 '' on the back .
The 1961 World Ice Hockey Championships was the 28th time the Ice Hockey World Championships were held .,The 1961 World Ice Hockey Championships was the 28th edition of the Ice Hockey World Championships .
He finished third in the 50 meter butterfly race and the 4 x 50 meter medley relay .,He finished third in the 4 x 50 meter medley relay .
"Six professional wrestling matches were on the event 's supercard , a scheduling of more than one main event .","Six professional wrestling matches were featured on the event 's supercard , a scheduling of more than one main event ."
Former panelist Bill Cullen hosted the show for its short 1976 CBS summer run .,Former panelist Bill Cullen hosted the show for its brief 1976 CBS summer run .
"She is the younger sister of former world number one men 's player , Marat Safin .",1 men 's player Marat Safin .
"At the 2009 IPC European Swimming Championship in Reykjavik , Iceland , he finished in the top three in at least one of his races .","At the 2009 IPC European Swimming Championship in Reykjavík , Iceland , Vidal finished in the top three in at least one of his races ."
"At the 2012 Games , athletes from the Netherlands Antilles will be a part of the unified Olympic team under the IOC flag .","At the 2012 Games , athletes from the Netherlands Antilles participated in a unified Olympic team under the IOC flag ."
"In 1866 , a national Olympic Games in Great Britain was organized by Dr. Brookes at London 's Crystal Palace .","In 1866 , a national Olympic Games in Great Britain was organized at London 's Crystal Palace ."
"In 1929 , numbers were first added on the backs of baseball uniforms by the New York Yankees and the Cleveland Indians baseball teams .","( Okkonen , p. 36 , p. 120 ) In 1929 , numbers were first added on the backs of uniforms by the New York Yankees and the Cleveland Indians ."
"Though they are bulky animals , hippopotamuses can gallop at 30 km/h ( 19 mph ) on land but normally trot .","Though they are bulky animals , hippopotamuses can gallop at on land but normally trot ."
The British Grand Prix at Silverstone was the first race in the newly-created Formula One World Championship .,The 1950 British Grand Prix at Silverstone was the first race in the newly created World Championship of Drivers .
The Lamborghini Gallardo is a sportscar that has been built by Lamborghini since 2003 and is Lamborghini 's most-produced model to date .,The Lamborghini Gallardo ( ; ) is a sports car built by Lamborghini from 2003 to 2013 .
"Icing in ice hockey is a rule the happens when a player shoots the puck across at least two red lines , the other team 's goal line being the last , and the puck remains untouched but it is not icing if the player shoots the puck from behind the halfway line of the ice into the goal .","It occurs when a player shoots the puck across both the centre red line and the opposing team 's goal line , and the puck remains untouched ."
"There is also the Rugby League World Cup , which is made up of member nations of the Rugby League International Federation ( RLIF ) .",It is an international tournament that is organized by the Rugby League International Federation .
"The stars theta Leonis , iota Leonis , and sigma Leonis form the left hind leg of the lion , with sigma Leonis being the foot .","The stars theta Leonis and rho Leonis form the right hind leg , with rho Leonis being the foot ."
"Later that year , Red Bull and Jordan/Midland also signed an extension .","Later in 2005 , Red Bull and Jordan/Midland also signed an extension ."
The predominant feud on the SmackDown !,"The following week , on `` SmackDown !"
"Venus Ebony Starr Williams ( born July 17 , 1980 ) is an American professional tennis player who is a former World No .","Venus Ebony Starr Williams ( born June 17 , 1980 ) is an American professional tennis player , who is a former World No ."
"Karl Allgöwer ( born 5 January , 1957 ) is a former German football player .",Karl Allgöwer ( born 5 January 1957 ) is a German former footballer .
"Walter Lyle Bradley ( born July 31 , 1943 in Lloydminster , Saskatchewan ) is a Canadian former ice hockey centre .","Walter Lyle Bradley ( born July 31 , 1943 in Lloydminster , Saskatchewan ) is a former ice hockey centre ."
"The 2009 IFL United Bowl had the Intense Conference champs , the Billings Outlaws , against the upset-minded United Conference River City Rage .","The 2009 United Bowl featured the Intense Conference champs , the Billings Outlaws , against the upset-minded United Conference champs River City Rage ."
"During the Intercontinental title match between Owen Hart and Stone Cold Steve Austin , Owen botched a piledriver which had briefly paralyzed Austin and had left him with many years of neck issues which ultimately forced him to retire at age 37 in 2003 .","During the Intercontinental title match , Owen Hart delivered a botched piledriver that temporarily paralyzed Austin and left him with many years of neck issues , forcing him to retire at age 38 in 2003 ."
The Atlantic League was a minor league baseball organization that operated between 1896 and 1900 .,The Atlantic League was a minor league baseball organization that operated between 1896 and 1900 in the Northeastern United States .
The first World Championship that was held as an individual event was in 1930 .,The 1957 World Championships were held in Moscow .
"Later , her son Shaharyar Khan became the Foreign Secretary of Pakistan and then the Chairman of the Pakistan Cricket Board .","Later , Shaharyar Khan became the Foreign Secretary of Pakistan and then the Chairman of the Pakistan Cricket Board ."
"9th Diamonds v England , Newcastle","October 9 Diamonds v England , Newcastle"
She won seven Women 's Tennis Association tournaments in singles and three in doubles .,She also won eight Women 's Tennis Association singles titles and three doubles titles .
"Adam Troy Dunn ( born November 9 , 1979 , in Houston , Texas ) , nicknamed `` Big Donkey '' , is an American Major League Baseball first baseman , outfielder , and designated hitter for the Oakland Athletics .","Adam Troy Dunn ( born November 9 , 1979 ) , nicknamed `` Big Donkey '' , is an American former professional baseball left fielder and first baseman ."
"The 2011 WTA Tour calendar comprises the Grand Slam tournaments ( organised by the International Tennis Federation ( ITF ) ) , the WTA Premier tournaments ( Premier Mandatory , Premier 5 and regular Premier ) , the WTA International tournaments , the Fed Cup ( organised by the ITF ) , and the year-end championships ( the Commonwealth Bank Tournament of Champions and the WTA Tour Championships ) .","The 2011 WTA Tour includes the Grand Slam tournaments ( sanctioned by the International Tennis Federation ( ITF ) ) , the WTA Premier tournaments , the WTA International tournaments , the Fed Cup ( organized by the ITF ) , the Commonwealth Bank Tournament of Champions and the WTA Championships ."
Jonny Kennedy ( born 16 February 1990 ) is an English rugby union player for Sale Sharks in the Guinness Premiership .,Jonny Kennedy ( born 16 February 1990 ) was a rugby union player for Sale Sharks and Scotland Under 21 's .
Koichi Sekimoto ( born 23 May 1978 ) is a former Japanese football player .,Koichi Sekimoto ( 23 May 1978 – 23 January 2016 ) was a Japanese football player .
The reason is complicated : men play using a curved stick called in Irish a `` camán '' .,Men play using a curved stick called in Irish a `` camán '' .
"He is the son of former Philadelphia Eagles and Arizona Cardinals head coach Buddy Ryan and is the twin brother of Rob Ryan , defensive coordinator for the Dallas Cowboys .",He is the son of former head coach Buddy Ryan and is the fraternal twin brother of Rob Ryan .
He played with the Dallas Stars and New York Rangers .,He signed with the Stars in July 1999 .
"Jamie Rae Salé ( born near Edmonton , Alberta , April 21 , 1977 ) is a Canadian pair skater .","Jamie Rae Salé ( born April 21 , 1977 ) is a Canadian pair skater ."
"While Marin Čilić , semifinalist from 2010 defeated John Isner 9–7 in the final set .","Marin Čilić , semifinalist from 2010 defeated John Isner 9–7 in the final set ."
"Before moving to DSG Park in 2007 , Colorado Rapids shared Mile High Stadium and then Invesco Field at Mile High with the Denver Broncos an American football team .","Prior to moving to DSG Park in 2007 , Colorado Rapids shared Mile High Stadium and then Invesco Field at Mile High with the Denver Broncos American football franchise ."
"Starting in 1937 , she wrote “Sports Reel” , a newspaper column in the `` Globe and Mail , '' a Canadian newspaper '' . ''",She began to work in the sports department of the Globe and Mail newspaper .
